mua_objectid,mua_aggname_short,mua_country_code,mua_country,mua_mean_lon,mua_mean_lat,mua_cell_count,mua_worldpop_thousands,mua_area_m2,region_1,economy,sub_regions
284,Dafeng,156,China,120.4386364,33.18409091,11,190,116094768,China,other,China
286,Dali,156,China,100.2704545,25.59318182,11,252,110936600,China,other,China
287,Dalian,156,China,121.6284884,39.00755814,43,3396,553214528,China,other,China
290,Dandong+,156,China,124.3697368,40.13289474,19,867,190387792,China,other,China
291,Danyang,156,China,119.5977273,32.00681818,11,372,129156040,China,other,China
292,Daqing,156,China,124.9981707,46.6054878,41,800,431727392,China,other,China
1272,Dashiqiao,156,China,122.5283333,40.63833333,15,314,140859872,China,other,China
296,Datong,156,China,113.2477273,40.06363636,22,1320,260795488,China,other,China
301,Dazhou,156,China,107.475,31.2,6,505,81801752,China,other,China
304,Dengfeng,156,China,113.01875,34.46875,8,139,67951064,China,other,China
305,Dengzhou,156,China,112.075,32.675,9,304,91316608,China,other,China
1259,Deyang,156,China,104.3892857,31.10714286,14,523,174925312,China,other,China
311,Dezhou,156,China,116.3220588,37.46323529,17,553,192615616,China,other,China
1242,Donggang,156,China,124.1291667,39.85833333,12,134,81927720,China,other,China
319,Dongtai,156,China,120.3083333,32.86388889,9,283,88428528,China,other,China
1328,Dongying,156,China,118.5775641,37.47884615,39,691,488436352,China,other,China
1256,Dujiangyan,156,China,103.6458333,30.99583333,12,354,121037160,China,other,China
337,Enshi,156,China,109.485,30.3,10,211,76577760,China,other,China
343,Ezhou,156,China,114.895,30.425,15,552,143137904,China,other,China
1356,Fangchenggang,156,China,108.35,21.75,4,105,59532888,China,other,China
349,Feicheng,156,China,116.775,36.185,10,199,74395240,China,other,China
1355,Fengcheng,156,China,115.75,28.175,12,191,120591216,China,other,China
360,Fuan,156,China,119.6607143,27.08214286,7,198,66953568,China,other,China
361,Fuqing,156,China,119.5934524,25.54464286,84,1129,840209728,China,other,China
362,Fushun,156,China,123.931,41.853,25,870,263117952,China,other,China
363,Fuxin,156,China,121.6828947,42.03026316,19,573,207530176,China,other,China
364,Fuyang_*Anhui*,156,China,115.825,32.9,30,645,170502176,China,other,China
365,Fuyang_*Zhejiang*,156,China,119.9607143,30.03571429,30,392,152301264,China,other,China
366,Fuzhou_*Fujian*,156,China,119.2766667,26.06166667,30,3030,477119264,China,other,China
367,Fuzhou_*Jiangxi*,156,China,116.3568182,27.97045455,11,475,122445864,China,other,China
369,Ganzhou+,156,China,114.823913,25.77826087,46,1293,759551616,China,other,China
1470,Gaoan,156,China,115.3886364,28.43863636,11,162,82172976,China,other,China
370,Gaocheng,156,China,114.835,38.025,10,152,64940880,China,other,China
1354,Gaomi,156,China,119.7673077,36.36346154,13,280,156525136,China,other,China
371,Gaoyou,156,China,119.46875,32.78125,8,221,95475960,China,other,China
372,Gaozhou,156,China,110.8416667,21.91944444,9,251,73807936,China,other,China
386,Gongyi,156,China,113.0022727,34.75681818,11,278,101313008,China,other,China
387,Gongzhuling,156,China,124.825,43.5,6,189,65170272,China,other,China
397,Guang'an,156,China,106.65,30.475,10,169,91303384,China,other,China
398,Guangyuan,156,China,105.8166667,32.42916667,12,199,119134288,China,other,China
1241,Guangzhou+,156,China,113.504733,22.88228155,412,42626,9027151872,China,other,China
400,Guigang,156,China,109.6041667,23.0875,12,328,119744328,China,other,China
401,Guilin,156,China,110.2825,25.2775,20,908,256965312,China,other,China
402,Guiping,156,China,110.075,23.375,9,182,75761856,China,other,China
403,Guiyang,156,China,106.6793478,26.57282609,23,2184,306489024,China,other,China
412,Haerbin,156,China,126.6353448,45.72672414,29,3564,324473024,China,other,China
1273,Haicheng,156,China,122.735,40.87,10,392,103525584,China,other,China
414,Haikou,156,China,110.2390625,20.1046875,32,1868,370965600,China,other,China
1252,Haining,156,China,120.6916667,30.52083333,12,300,124826792,China,other,China
424,Hami,156,China,93.5125,42.84166667,12,273,125276544,China,other,China
1349,Hanchuan,156,China,113.8321429,30.66071429,7,169,70583096,China,other,China
426,Handan,156,China,114.4884615,36.65576923,26,1382,328448800,China,other,China
1443,Hangzhou+,156,China,120.6521493,30.21821267,221,11135,4306489344,China,other,China
429,Hanzhong,156,China,106.9980769,33.05192308,13,500,146702320,China,other,China
435,Hebi,156,China,114.2805556,35.75277778,9,245,102112856,China,other,China
437,Hefei,156,China,117.2773256,31.83313953,43,3956,670358528,China,other,China
438,Hegang,156,China,130.284375,47.303125,16,464,188588336,China,other,China
439,Hejian,156,China,116.075,38.45,6,137,65998172,China,other,China
441,Hengshui,156,China,115.6704545,37.73409091,11,380,125422600,China,other,China
442,Hengyang,156,China,112.6171053,26.87236842,19,936,249895888,China,other,China
445,Heyuan,156,China,114.685,23.75,10,299,95269256,China,other,China
446,Heze,156,China,115.4985294,35.23676471,17,467,199181904,China,other,China
447,Hezhou,156,China,111.5159091,24.40681818,11,181,111131000,China,other,China
451,Hohhot,156,China,111.6637097,40.79758065,31,1957,410291520,China,other,China
457,Hsinchu,156,China,121.0071429,24.81428571,14,606,160018352,China,other,China
